Пол,Возраст,Путешествует с детьми,Расстояние,Включён завтрак,Наличие wifi,Оценка удобства добирания до места,Оценка интерсности досуга,Оценка качества питания,Оценка качества wifi,Оценка комфортности палатки,Общая оценка качества предоставленной услуги
муж,"85,53",да,3044,0,0,4,отсутствует,хорошо,плохо,отсутствует,отсутствует
муж,"70,89",да,1043,0,0,5,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
жен,"33,37",да,1233,0,1,2,плохо,плохо,отсутствует,хорошо,хорошо
жен,"69,5",нет,1210,1,0,1,плохо,отсутствует,плохо,отсутствует,плохо
муж,"48,12",да,3849,0,1,3,хорошо,отсутствует,хорошо,хорошо,отсутствует
жен,"88,23",нет,3107,0,1,2,хорошо,плохо,плохо,отсутствует,отсутствует
жен,"87,24",нет,238,1,1,2,хорошо,хорошо,плохо,хорошо,плохо
жен,"75,28",нет,1770,1,0,1,хорошо,плохо,плохо,плохо,хорошо
жен,"80,71",нет,4228,0,1,1,хорошо,отсутствует,хорошо,плохо,плохо
муж,"74,76",да,4191,0,0,2,хорошо,плохо,плохо,отсутствует,плохо
муж,"39,27",да,2048,1,0,3,хорошо,плохо,плохо,плохо,плохо
муж,"87,87",да,4107,0,1,5,отсутствует,хорошо,плохо,плохо,отсутствует
жен,"54,13",да,4620,0,1,3,отсутствует,отсутствует,хорошо,плохо,отсутствует
жен,"86,33",нет,1054,0,0,5,плохо,хорошо,плохо,отсутствует,отсутствует
жен,"39,78",нет,1242,0,0,5,отсутствует,плохо,отсутствует,отсутствует,хорошо
жен,"23,6",да,1544,1,0,1,хорошо,отсутствует,отсутствует,хорошо,отсутствует
муж,"55,52",нет,1500,1,1,5,отсутствует,плохо,отсутствует,плохо,хорошо
муж,"64,18",нет,580,0,0,2,отсутствует,хорошо,отсутствует,хорошо,отсутствует
жен,"35,89",нет,4749,0,0,5,плохо,отсутствует,хорошо,плохо,плохо
жен,"87,31",нет,1589,1,0,5,плохо,отсутствует,плохо,отсутствует,отсутствует
муж,"79,54",нет,4186,0,1,4,плохо,хорошо,хорошо,хорошо,отсутствует
жен,"67,96",да,2118,0,0,1,хорошо,отсутствует,хорошо,отсутствует,хорошо
жен,"85,36",нет,581,1,1,4,плохо,хорошо,хорошо,хорошо,плохо
муж,"40,07",да,519,0,0,1,плохо,хорошо,хорошо,хорошо,хорошо
жен,"67,97",нет,3789,1,0,3,плохо,отсутствует,отсутствует,плохо,хорошо
жен,"19,44",нет,1609,0,0,1,плохо,плохо,хорошо,плохо,хорошо
муж,"80,99",нет,3237,1,0,4,хорошо,хорошо,отсутствует,хорошо,плохо
муж,"43,68",нет,1372,1,1,5,хорошо,хорошо,хорошо,плохо,плохо
жен,"18,16",нет,2712,1,0,3,отсутствует,хорошо,плохо,отсутствует,плохо
жен,"20,35",да,2192,1,1,2,отсутствует,плохо,плохо,отсутствует,хорошо
жен,"75,99",да,1223,1,1,5,хорошо,хорошо,отсутствует,плохо,хорошо
жен,"79,51",да,3248,0,1,1,хорошо,хорошо,отсутствует,плохо,отсутствует
жен,"78,08",да,1478,1,1,1,отсутствует,плохо,отсутствует,отсутствует,плохо
муж,"24,95",да,1880,1,0,5,хорошо,плохо,отсутствует,хорошо,хорошо
муж,"33,9",да,4993,1,0,3,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"72,9",да,460,1,0,1,хорошо,плохо,плохо,хорошо,плохо
муж,"85,48",нет,4917,1,1,5,хорошо,плохо,хорошо,плохо,отсутствует
жен,"36,37",да,1993,0,1,1,хорошо,плохо,отсутствует,хорошо,отсутствует
жен,"80,95",да,1144,1,0,2,отсутствует,хорошо,плохо,плохо,плохо
жен,"30,09",нет,492,0,1,5,плохо,хорошо,отсутствует,отсутствует,отсутствует
муж,"40,09",нет,3488,1,1,1,хорошо,хорошо,хорошо,плохо,плохо
жен,"65,47",да,4538,1,1,2,плохо,плохо,отсутствует,отсутствует,отсутствует
жен,"46,42",да,1671,0,0,4,отсутствует,отсутствует,хорошо,хорошо,отсутствует
муж,"62,88",да,3579,0,1,2,хорошо,отсутствует,плохо,отсутствует,плохо
муж,"60,7",нет,2851,1,1,2,хорошо,плохо,отсутствует,отсутствует,отсутствует
жен,"36,99",нет,4646,0,0,5,плохо,плохо,отсутствует,отсутствует,хорошо
жен,"26,2",нет,2800,0,1,4,плохо,хорошо,хорошо,плохо,плохо
муж,"25,82",нет,2347,0,1,3,отсутствует,хорошо,плохо,отсутствует,хорошо
жен,"86,18",да,2518,0,0,2,плохо,хорошо,отсутствует,плохо,плохо
жен,"38,75",да,1327,0,1,5,плохо,отсутствует,плохо,хорошо,хорошо
муж,"50,33",нет,4997,0,0,5,отсутствует,отсутствует,плохо,отсутствует,отсутствует
жен,"60,65",нет,4836,1,0,3,отсутствует,хорошо,отсутствует,хорошо,плохо
жен,"31,61",да,3119,1,0,2,хорошо,хорошо,хорошо,плохо,отсутствует
муж,"81,07",нет,4352,0,0,5,отсутствует,хорошо,плохо,хорошо,плохо
жен,"18,96",нет,2497,1,1,4,хорошо,хорошо,хорошо,плохо,хорошо
жен,"77,25",нет,2337,1,0,1,хорошо,плохо,хорошо,отсутствует,хорошо
муж,"22,82",да,597,0,0,1,хорошо,отсутствует,плохо,плохо,плохо
муж,"18,56",нет,4709,1,0,1,плохо,отсутствует,отсутствует,плохо,плохо
муж,"51,31",нет,2912,1,0,2,плохо,отсутствует,отсутствует,хорошо,плохо
муж,"41,14",нет,619,1,0,4,хорошо,хорошо,хорошо,плохо,плохо
муж,"84,23",нет,1738,0,1,1,плохо,отсутствует,отсутствует,отсутствует,отсутствует
муж,"41,13",нет,3930,0,1,1,хорошо,хорошо,плохо,хорошо,плохо
жен,"72,93",да,1938,1,0,5,хорошо,плохо,плохо,хорошо,отсутствует
жен,"24,89",да,892,1,1,5,плохо,плохо,плохо,хорошо,хорошо
муж,"45,94",нет,1429,0,1,1,отсутствует,плохо,плохо,хорошо,плохо
жен,"82,71",нет,2111,0,1,4,хорошо,плохо,хорошо,плохо,плохо
жен,"81,22",нет,1565,0,0,1,хорошо,хорошо,отсутствует,отсутствует,плохо
жен,"42,83",нет,5000,1,1,1,плохо,хорошо,отсутствует,отсутствует,плохо
жен,"40,81",нет,953,0,0,4,плохо,отсутствует,хорошо,отсутствует,плохо
жен,"36,39",нет,3584,1,0,2,плохо,плохо,плохо,хорошо,хорошо
муж,"27,77",да,1771,0,0,4,отсутствует,плохо,плохо,отсутствует,хорошо
муж,"85,98",нет,1237,0,1,4,плохо,плохо,отсутствует,отсутствует,плохо
жен,"83,46",да,2971,1,1,5,хорошо,плохо,отсутствует,плохо,отсутствует
жен,"39,13",нет,2275,0,1,1,отсутствует,хорошо,хорошо,отсутствует,хорошо
жен,"27,39",нет,4016,0,1,4,плохо,плохо,хорошо,плохо,отсутствует
жен,"46,38",да,376,1,0,3,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует
жен,"36,83",нет,1005,1,0,2,плохо,хорошо,хорошо,плохо,плохо
жен,"88,58",да,4726,0,1,1,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,"36,8",нет,842,0,1,2,отсутствует,отсутствует,отсутствует,хорошо,хорошо
жен,"22,14",нет,412,1,0,3,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
жен,"87,75",да,3233,1,1,1,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"41,11",нет,1238,1,0,4,хорошо,хорошо,отсутствует,хорошо,хорошо
жен,"22,43",нет,2643,0,0,2,хорошо,отсутствует,хорошо,отсутствует,плохо
жен,"84,86",да,3280,1,1,4,хорошо,плохо,отсутствует,отсутствует,плохо
жен,"79,13",да,3183,1,0,2,отсутствует,хорошо,плохо,отсутствует,хорошо
муж,"64,18",нет,3452,0,1,1,плохо,хорошо,хорошо,плохо,хорошо
жен,"35,22",нет,4746,0,1,2,отсутствует,хорошо,отсутствует,плохо,плохо
муж,"70,96",да,3927,1,1,5,плохо,отсутствует,отсутствует,отсутствует,хорошо
жен,"31,25",да,2106,1,0,5,отсутствует,отсутствует,хорошо,отсутствует,хорошо
жен,"89,58",да,554,0,0,3,плохо,хорошо,хорошо,плохо,отсутствует
жен,"59,35",да,2533,1,0,4,хорошо,хорошо,отсутствует,отсутствует,хорошо
жен,"54,67",нет,2573,0,0,2,плохо,отсутствует,отсутствует,хорошо,хорошо
жен,"45,44",да,175,0,1,2,плохо,хорошо,отсутствует,отсутствует,хорошо
муж,"88,4",нет,1716,0,1,4,хорошо,плохо,плохо,плохо,плохо
жен,"78,09",да,4537,0,1,4,плохо,плохо,плохо,хорошо,плохо
муж,"31,44",да,4365,0,0,1,плохо,плохо,хорошо,отсутствует,отсутствует
жен,"37,16",да,1009,1,1,5,хорошо,хорошо,плохо,плохо,плохо
жен,"71,16",нет,831,0,0,2,хорошо,хорошо,отсутствует,плохо,отсутствует
муж,"65,82",нет,825,1,0,3,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует
муж,"40,13",нет,892,0,1,4,отсутствует,хорошо,отсутствует,отсутствует,плохо
жен,"74,48",нет,1833,1,0,1,хорошо,хорошо,отсутствует,плохо,хорошо
муж,"71,96",да,251,1,1,3,плохо,плохо,плохо,хорошо,отсутствует
муж,"40,04",нет,657,0,0,2,плохо,отсутствует,плохо,плохо,хорошо
жен,"31,92",да,933,1,0,3,хорошо,отсутствует,хорошо,отсутствует,отсутствует
жен,"49,96",да,3369,0,0,5,отсутствует,плохо,отсутствует,плохо,отсутствует
жен,"52,92",нет,148,0,1,3,плохо,хорошо,плохо,хорошо,хорошо
муж,"28,88",нет,918,1,0,5,хорошо,хорошо,хорошо,хорошо,отсутствует
муж,"54,27",нет,166,1,0,5,отсутствует,плохо,плохо,хорошо,отсутствует
жен,"76,33",нет,3049,1,1,3,плохо,плохо,плохо,плохо,плохо
муж,"32,94",нет,3363,1,0,5,плохо,отсутствует,хорошо,отсутствует,отсутствует
муж,"82,88",да,1798,0,1,4,отсутствует,плохо,отсутствует,хорошо,отсутствует
муж,"40,79",нет,4262,0,0,5,хорошо,отсутствует,отсутствует,отсутствует,хорошо
жен,"25,75",нет,875,1,1,4,хорошо,плохо,отсутствует,отсутствует,плохо
жен,"76,29",да,2384,1,1,5,хорошо,хорошо,хорошо,хорошо,хорошо
муж,"80,93",да,2814,0,1,1,плохо,хорошо,отсутствует,отсутствует,плохо
муж,"28,62",нет,3297,1,1,2,хорошо,плохо,отсутствует,хорошо,хорошо
жен,"80,06",нет,811,0,1,4,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"81,18",нет,3519,0,0,2,отсутствует,хорошо,отсутствует,плохо,плохо
жен,"79,1",нет,2735,0,1,1,плохо,хорошо,отсутствует,плохо,плохо
жен,"33,53",нет,1890,0,0,1,плохо,хорошо,хорошо,плохо,отсутствует
муж,"19,05",нет,1924,1,1,3,отсутствует,хорошо,плохо,хорошо,отсутствует
муж,"80,46",нет,750,1,0,2,хорошо,хорошо,плохо,отсутствует,хорошо
жен,"68,98",нет,3239,1,1,1,плохо,хорошо,плохо,отсутствует,отсутствует
муж,"32,0",да,928,0,0,3,хорошо,хорошо,отсутствует,отсутствует,отсутствует
жен,"52,16",нет,3971,0,0,4,отсутствует,хорошо,хорошо,отсутствует,отсутствует
муж,"78,09",да,1156,1,0,3,хорошо,хорошо,отсутствует,хорошо,отсутствует
муж,"42,65",да,4500,0,0,1,плохо,хорошо,отсутствует,хорошо,отсутствует
муж,"52,65",да,3505,0,1,4,плохо,отсутствует,хорошо,хорошо,хорошо
муж,"26,32",да,3625,0,0,3,плохо,хорошо,плохо,хорошо,хорошо
муж,"82,33",да,450,1,1,3,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
жен,"25,17",да,2746,1,0,4,хорошо,отсутствует,хорошо,отсутствует,хорошо
муж,"37,0",да,3928,1,0,5,отсутствует,плохо,отсутствует,плохо,плохо
муж,"66,93",да,536,0,0,3,плохо,отсутствует,плохо,отсутствует,плохо
жен,"42,62",да,3454,0,1,5,отсутствует,хорошо,отсутствует,плохо,хорошо
жен,"47,57",да,3778,0,0,2,хорошо,отсутствует,хорошо,плохо,отсутствует
жен,"79,15",нет,3221,0,1,4,хорошо,отсутствует,отсутствует,плохо,отсутствует
муж,"34,16",нет,2866,0,0,4,плохо,плохо,хорошо,плохо,хорошо
жен,"64,52",нет,1884,1,0,1,отсутствует,плохо,отсутствует,плохо,плохо
муж,"47,78",нет,3337,0,0,1,отсутствует,отсутствует,плохо,хорошо,отсутствует
жен,"61,67",нет,3128,0,1,5,плохо,хорошо,плохо,плохо,хорошо
жен,"56,19",нет,1442,0,1,4,плохо,хорошо,плохо,хорошо,отсутствует
жен,"58,54",да,4689,1,1,5,отсутствует,хорошо,плохо,хорошо,отсутствует
муж,"45,13",нет,3992,1,0,3,отсутствует,плохо,плохо,плохо,плохо
жен,"62,27",да,1396,0,0,3,хорошо,хорошо,плохо,плохо,плохо
жен,"48,63",нет,1433,1,1,5,хорошо,плохо,хорошо,отсутствует,хорошо
жен,"65,63",да,2676,1,0,3,хорошо,отсутствует,плохо,отсутствует,хорошо
муж,"61,72",да,2292,1,0,3,плохо,плохо,плохо,плохо,отсутствует
муж,"73,68",да,2383,0,1,3,плохо,отсутствует,плохо,плохо,отсутствует
муж,"20,58",да,1871,0,0,2,отсутствует,плохо,хорошо,плохо,хорошо
жен,"66,46",да,2913,1,1,2,отсутствует,плохо,отсутствует,отсутствует,плохо
муж,"78,1",да,2632,1,0,3,хорошо,отсутствует,плохо,отсутствует,хорошо
жен,"42,07",нет,1466,1,0,4,хорошо,хорошо,отсутствует,плохо,отсутствует
жен,"26,54",да,296,0,1,3,отсутствует,хорошо,плохо,отсутствует,отсутствует
жен,"67,76",да,1945,0,1,4,хорошо,плохо,плохо,отсутствует,отсутствует
жен,"37,64",нет,4531,1,0,1,отсутствует,хорошо,плохо,плохо,плохо
муж,"71,71",да,3041,1,1,5,плохо,хорошо,хорошо,хорошо,плохо
жен,"26,07",да,2394,1,0,4,плохо,отсутствует,отсутствует,отсутствует,отсутствует
жен,"57,42",нет,4921,0,1,3,плохо,отсутствует,хорошо,хорошо,отсутствует
жен,"44,2",да,903,0,1,4,плохо,отсутствует,хорошо,плохо,хорошо
жен,"86,55",да,1809,1,0,5,плохо,хорошо,отсутствует,плохо,хорошо
жен,"45,46",нет,937,1,0,3,отсутствует,хорошо,плохо,отсутствует,хорошо
жен,"64,61",нет,3022,1,1,1,отсутствует,хорошо,хорошо,плохо,плохо
жен,"59,6",да,4265,1,1,3,хорошо,отсутствует,отсутствует,отсутствует,плохо
муж,"48,37",да,1298,1,0,3,плохо,плохо,хорошо,плохо,отсутствует
муж,"36,28",нет,2987,0,0,1,плохо,хорошо,плохо,плохо,хорошо
жен,"88,62",нет,3280,1,1,5,хорошо,плохо,отсутствует,плохо,плохо
жен,"48,1",да,1599,0,0,1,плохо,плохо,хорошо,отсутствует,хорошо
муж,"40,85",нет,219,1,0,5,хорошо,отсутствует,отсутствует,отсутствует,хорошо
жен,"50,9",нет,132,0,0,2,хорошо,хорошо,отсутствует,плохо,хорошо
муж,"68,8",да,2812,1,1,3,плохо,отсутствует,отсутствует,плохо,плохо
муж,"69,83",да,3377,0,0,3,хорошо,хорошо,отсутствует,отсутствует,плохо
жен,"70,81",нет,4089,0,0,2,хорошо,плохо,хорошо,плохо,плохо
жен,"21,16",нет,958,1,0,2,плохо,плохо,плохо,плохо,отсутствует
муж,"36,19",да,4236,1,1,2,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
жен,"51,39",нет,4883,1,1,5,плохо,хорошо,хорошо,хорошо,плохо
муж,"19,96",да,111,0,0,2,отсутствует,хорошо,плохо,отсутствует,хорошо
муж,"39,47",нет,1245,0,0,5,отсутствует,плохо,хорошо,хорошо,отсутствует
муж,"58,95",нет,2010,0,1,1,хорошо,хорошо,плохо,плохо,хорошо
жен,"64,62",нет,3459,1,0,3,хорошо,отсутствует,отсутствует,отсутствует,плохо
муж,"75,49",нет,2287,0,0,1,хорошо,хорошо,плохо,плохо,хорошо
жен,"82,33",нет,3067,0,1,4,плохо,отсутствует,отсутствует,хорошо,хорошо
муж,"32,57",нет,2742,1,0,1,отсутствует,хорошо,хорошо,хорошо,хорошо
муж,"81,44",да,2127,1,0,2,хорошо,отсутствует,хорошо,хорошо,отсутствует
жен,"72,95",нет,4772,1,0,5,плохо,отсутствует,хорошо,плохо,хорошо
жен,"52,58",да,4660,1,0,3,плохо,отсутствует,отсутствует,отсутствует,плохо
муж,"40,72",да,2067,0,1,1,отсутствует,отсутствует,хорошо,отсутствует,отсутствует
жен,"64,52",да,3944,1,1,4,хорошо,плохо,хорошо,отсутствует,хорошо
жен,"74,81",нет,2035,0,1,3,плохо,хорошо,плохо,хорошо,отсутствует
жен,"20,79",да,1901,1,1,2,отсутствует,плохо,хорошо,плохо,хорошо
муж,"19,05",нет,4193,1,0,2,хорошо,отсутствует,плохо,плохо,хорошо
жен,"24,37",да,2294,0,1,4,отсутствует,хорошо,плохо,хорошо,отсутствует
жен,"26,15",да,2384,1,0,5,отсутствует,плохо,хорошо,плохо,хорошо
муж,"22,86",да,3184,1,0,2,отсутствует,отсутствует,хорошо,отсутствует,хорошо
муж,"24,38",да,2495,1,0,3,плохо,хорошо,отсутствует,отсутствует,отсутствует
муж,"43,55",нет,2342,1,0,4,отсутствует,плохо,хорошо,отсутствует,плохо
муж,"19,39",нет,2449,0,0,1,плохо,отсутствует,отсутствует,плохо,отсутствует
жен,"79,36",да,4209,1,1,3,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"45,2",нет,1233,1,0,2,отсутствует,хорошо,хорошо,хорошо,хорошо
муж,"87,02",нет,3673,1,0,1,плохо,хорошо,хорошо,плохо,отсутствует
муж,"20,63",нет,2718,1,0,4,плохо,отсутствует,отсутствует,хорошо,отсутствует
муж,"73,86",да,598,0,1,5,хорошо,отсутствует,плохо,хорошо,плохо
муж,"48,39",да,4669,0,0,3,отсутствует,хорошо,хорошо,отсутствует,плохо
жен,"85,99",нет,789,0,0,2,плохо,хорошо,хорошо,плохо,отсутствует
муж,"43,13",да,3975,0,0,5,хорошо,плохо,отсутствует,отсутствует,плохо
жен,"54,07",да,4694,1,0,4,отсутствует,плохо,отсутствует,отсутствует,плохо
жен,"47,34",да,3566,1,1,5,отсутствует,хорошо,отсутствует,отсутствует,хорошо
жен,"57,9",нет,1778,1,1,5,хорошо,отсутствует,отсутствует,отсутствует,плохо
муж,"30,49",да,4490,1,0,2,хорошо,хорошо,отсутствует,хорошо,хорошо
жен,"26,54",да,2637,1,1,5,плохо,отсутствует,отсутствует,хорошо,хорошо
муж,"54,66",да,1499,1,0,2,плохо,отсутствует,отсутствует,плохо,плохо
жен,"63,0",да,1516,1,1,3,плохо,отсутствует,отсутствует,плохо,хорошо
муж,"37,16",да,242,1,0,4,отсутствует,хорошо,плохо,плохо,плохо
муж,"87,59",да,682,0,1,1,отсутствует,хорошо,плохо,хорошо,отсутствует
жен,"38,51",нет,4983,1,0,5,плохо,хорошо,плохо,хорошо,хорошо
муж,"65,67",нет,656,1,1,1,плохо,плохо,плохо,хорошо,отсутствует
жен,"47,18",нет,1671,1,1,5,хорошо,хорошо,хорошо,хорошо,плохо
жен,"48,83",да,1316,0,1,3,плохо,отсутствует,хорошо,плохо,плохо
жен,"29,35",нет,2004,1,0,1,отсутствует,хорошо,плохо,хорошо,отсутствует
муж,"48,34",да,4366,1,0,2,хорошо,отсутствует,хорошо,хорошо,плохо
жен,"57,66",нет,1946,0,0,2,отсутствует,отсутствует,хорошо,отсутствует,плохо
жен,"41,96",да,4370,0,0,5,плохо,хорошо,плохо,плохо,отсутствует
жен,"51,72",да,1642,1,0,2,хорошо,хорошо,плохо,хорошо,отсутствует
муж,"72,04",нет,2364,0,1,1,хорошо,плохо,плохо,отсутствует,плохо
муж,"30,38",да,3757,0,1,5,отсутствует,плохо,отсутствует,хорошо,отсутствует
жен,"38,36",да,3226,1,0,2,плохо,отсутствует,хорошо,отсутствует,плохо
муж,"71,14",да,2726,0,1,2,отсутствует,хорошо,плохо,отсутствует,плохо
жен,"68,08",нет,4840,0,1,1,хорошо,плохо,плохо,плохо,отсутствует
жен,"67,64",нет,237,1,0,2,хорошо,хорошо,отсутствует,хорошо,плохо
жен,"64,77",да,3895,0,1,5,отсутствует,плохо,плохо,отсутствует,хорошо
жен,"83,86",да,1621,1,0,5,плохо,отсутствует,отсутствует,плохо,плохо
жен,"38,46",нет,2093,1,0,1,отсутствует,плохо,отсутствует,плохо,плохо
жен,"81,19",нет,735,0,1,4,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,"50,74",да,1286,0,0,5,хорошо,плохо,отсутствует,плохо,плохо
жен,"29,84",нет,4705,1,0,1,хорошо,отсутствует,хорошо,хорошо,плохо
жен,"59,81",нет,184,0,1,3,хорошо,плохо,отсутствует,хорошо,хорошо
жен,"32,6",да,2748,0,1,1,плохо,хорошо,отсутствует,хорошо,отсутствует
муж,"23,43",нет,568,1,0,2,хорошо,отсутствует,плохо,плохо,отсутствует
муж,"39,54",нет,151,1,0,3,отсутствует,плохо,плохо,хорошо,хорошо
муж,"55,71",нет,4064,0,1,1,отсутствует,плохо,отсутствует,хорошо,плохо
муж,"84,37",да,2373,1,0,1,хорошо,плохо,отсутствует,отсутствует,хорошо
муж,"75,27",нет,3873,1,1,4,хорошо,хорошо,плохо,хорошо,отсутствует
жен,"24,24",да,2954,1,1,3,хорошо,хорошо,отсутствует,хорошо,плохо
муж,"19,41",да,2010,1,0,2,хорошо,отсутствует,плохо,отсутствует,плохо
муж,"31,56",нет,551,0,1,5,отсутствует,отсутствует,плохо,плохо,плохо
жен,"30,93",нет,914,1,0,4,хорошо,отсутствует,плохо,отсутствует,отсутствует
муж,"36,87",да,4536,0,0,1,отсутствует,хорошо,плохо,отсутствует,плохо
муж,"29,53",нет,3431,0,0,4,хорошо,отсутствует,плохо,плохо,плохо
жен,"86,61",нет,3878,1,1,3,отсутствует,хорошо,отсутствует,хорошо,плохо
муж,"37,79",нет,4543,1,1,1,хорошо,отсутствует,плохо,плохо,хорошо
жен,"66,65",да,931,0,0,4,плохо,отсутствует,хорошо,отсутствует,плохо
муж,"22,61",нет,3905,0,1,2,плохо,отсутствует,плохо,плохо,хорошо
муж,"19,22",да,2460,0,0,4,отсутствует,отсутствует,плохо,плохо,отсутствует
жен,"67,68",нет,314,0,0,5,хорошо,хорошо,отсутствует,плохо,отсутствует
жен,"33,78",да,4812,0,1,1,хорошо,плохо,отсутствует,плохо,отсутствует
жен,"37,14",да,3334,1,1,4,хорошо,хорошо,хорошо,отсутствует,отсутствует
муж,"74,0",да,1114,1,0,3,плохо,хорошо,отсутствует,отсутствует,плохо
муж,"60,25",да,4416,0,1,2,плохо,плохо,плохо,хорошо,хорошо
муж,"46,29",нет,4402,1,0,4,плохо,хорошо,плохо,хорошо,хорошо
жен,"48,65",да,1068,1,0,1,хорошо,отсутствует,отсутствует,хорошо,отсутствует
муж,"29,34",нет,2470,0,0,5,отсутствует,отсутствует,хорошо,хорошо,отсутствует
муж,"80,55",да,2594,0,0,4,отсутствует,плохо,плохо,плохо,хорошо
муж,"41,21",нет,4799,1,1,5,плохо,хорошо,хорошо,плохо,хорошо
муж,"21,41",да,4098,0,1,2,хорошо,хорошо,плохо,отсутствует,плохо
муж,"88,77",нет,1521,0,0,2,хорошо,отсутствует,плохо,плохо,хорошо
жен,"82,99",да,1469,0,0,2,плохо,плохо,отсутствует,отсутствует,хорошо
муж,"53,69",да,3052,1,1,1,хорошо,хорошо,отсутствует,отсутствует,хорошо
муж,"49,82",нет,4947,0,0,3,хорошо,плохо,отсутствует,плохо,отсутствует
муж,"56,38",нет,2367,1,0,5,отсутствует,хорошо,хорошо,отсутствует,плохо
муж,"46,54",да,853,1,0,1,плохо,отсутствует,плохо,хорошо,хорошо
жен,"39,79",нет,2681,0,1,4,плохо,плохо,хорошо,хорошо,отсутствует
муж,"69,16",да,3800,1,1,3,отсутствует,хорошо,отсутствует,плохо,плохо
жен,"23,99",да,2236,1,0,1,хорошо,отсутствует,хорошо,плохо,хорошо
муж,"55,79",да,4877,1,1,2,отсутствует,отсутствует,плохо,хорошо,отсутствует
жен,"42,71",нет,1221,1,1,1,отсутствует,отсутствует,плохо,плохо,хорошо
жен,"77,28",да,3685,0,1,3,отсутствует,отсутствует,плохо,хорошо,плохо
жен,"47,94",нет,527,0,0,4,плохо,плохо,отсутствует,отсутствует,отсутствует
муж,"67,23",да,2102,0,0,2,плохо,хорошо,отсутствует,отсутствует,плохо
жен,"28,36",да,633,1,0,5,отсутствует,хорошо,хорошо,плохо,отсутствует
муж,"39,42",да,3429,0,0,1,отсутствует,отсутствует,хорошо,плохо,плохо
жен,"79,84",да,3038,0,1,1,хорошо,плохо,отсутствует,хорошо,плохо
муж,"31,11",нет,4869,1,0,1,отсутствует,отсутствует,плохо,плохо,хорошо
жен,"64,71",нет,497,1,1,3,отсутствует,хорошо,отсутствует,хорошо,хорошо
жен,"78,54",нет,1909,0,1,5,плохо,хорошо,плохо,хорошо,отсутствует
жен,"25,52",нет,4857,1,1,4,отсутствует,отсутствует,плохо,плохо,плохо
жен,"86,0",да,442,0,1,4,плохо,плохо,плохо,хорошо,хорошо
муж,"66,17",нет,649,0,0,5,отсутствует,плохо,отсутствует,плохо,плохо
муж,"60,78",нет,2002,1,1,2,плохо,отсутствует,плохо,плохо,хорошо
муж,"28,38",да,2025,1,0,2,отсутствует,плохо,плохо,хорошо,плохо
муж,"59,38",да,2142,1,1,4,отсутствует,хорошо,отсутствует,хорошо,хорошо
жен,"28,18",нет,2880,1,0,5,плохо,отсутствует,плохо,хорошо,плохо
муж,"30,57",нет,3186,1,1,5,плохо,плохо,хорошо,плохо,плохо
жен,"74,57",нет,1235,0,1,3,отсутствует,плохо,плохо,отсутствует,хорошо
муж,"52,27",да,2608,0,1,3,хорошо,хорошо,хорошо,плохо,хорошо
жен,"35,42",нет,3011,0,1,1,отсутствует,отсутствует,плохо,плохо,хорошо
муж,"64,34",нет,4630,0,1,4,плохо,хорошо,хорошо,отсутствует,хорошо
муж,"46,02",нет,4840,1,1,4,отсутствует,хорошо,хорошо,плохо,хорошо
жен,"67,67",нет,3664,0,1,4,отсутствует,отсутствует,отсутствует,плохо,плохо
муж,"64,18",да,1912,1,0,1,хорошо,хорошо,хорошо,хорошо,плохо
муж,"26,61",да,200,1,1,2,хорошо,плохо,отсутствует,отсутствует,хорошо
муж,"34,76",да,2215,1,0,4,плохо,отсутствует,хорошо,отсутствует,хорошо
муж,"73,6",да,736,1,1,4,отсутствует,отсутствует,плохо,хорошо,отсутствует
жен,"39,81",да,4138,0,1,4,плохо,плохо,хорошо,хорошо,хорошо
муж,"26,09",нет,1093,1,0,2,плохо,хорошо,хорошо,плохо,отсутствует
муж,"65,76",нет,3813,1,0,5,плохо,хорошо,хорошо,хорошо,плохо
муж,"71,27",нет,4567,0,1,2,хорошо,плохо,плохо,хорошо,отсутствует
муж,"41,81",нет,3808,1,1,3,отсутствует,плохо,плохо,хорошо,хорошо
жен,"72,78",нет,1938,1,1,1,хорошо,плохо,хорошо,хорошо,отсутствует
жен,"50,13",да,4057,0,1,1,отсутствует,отсутствует,отсутствует,плохо,отсутствует
жен,"63,53",да,2909,1,0,1,отсутствует,хорошо,хорошо,плохо,плохо
жен,"74,12",нет,1100,0,1,5,отсутствует,хорошо,отсутствует,хорошо,отсутствует
жен,"78,86",нет,1035,0,1,3,плохо,хорошо,отсутствует,отсутствует,хорошо
жен,"40,09",да,1337,0,0,4,отсутствует,хорошо,отсутствует,отсутствует,отсутствует
муж,"63,17",да,932,0,1,3,отсутствует,плохо,хорошо,хорошо,отсутствует
