пол,возраст,путешествует_с_детьми,расстояние,включён_завтрак,наличие_wifi,оценка_удобства_добирания_до_места,оценка_интерсности_досуга,оценка_качества_питания,оценка_качества_wifi,оценка_комфортности_палатки,общая_оценка_качества_предоставленной_услуги,возраст_кат
жен,20,нет,2171,1,0,5,хорошо,отсутствует,хорошо,отсутствует,плохо,менее_30
муж,67,да,3381,1,0,3,хорошо,плохо,плохо,отсутствует,хорошо,более_30
жен,51,да,4247,0,0,1,плохо,отсутствует,отсутствует,отсутствует,отсутствует,более_30
муж,57,нет,2805,1,1,2,плохо,отсутствует,хорошо,отсутствует,отсутствует,более_30
муж,11,нет,4310,0,0,3,хорошо,отсутствует,хорошо,плохо,хорошо,менее_30
жен,53,нет,2269,1,0,4,плохо,хорошо,отсутствует,хорошо,плохо,более_30
муж,74,да,2410,1,0,5,отсутствует,плохо,отсутствует,отсутствует,плохо,более_30
жен,39,да,3325,1,0,3,отсутствует,хорошо,отсутствует,отсутствует,хорошо,более_30
муж,69,нет,200,1,0,4,плохо,хорошо,отсутствует,плохо,плохо,более_30
муж,46,нет,2056,1,0,5,плохо,плохо,хорошо,плохо,плохо,более_30
муж,33,нет,271,0,1,5,отсутствует,отсутствует,отсутствует,отсутствует,плохо,более_30
жен,40,нет,3447,0,0,5,хорошо,плохо,хорошо,плохо,плохо,более_30
муж,14,да,304,0,0,2,хорошо,хорошо,отсутствует,отсутствует,плохо,менее_30
муж,54,нет,2750,1,0,5,плохо,плохо,отсутствует,отсутствует,плохо,более_30
жен,67,нет,4931,1,0,4,хорошо,плохо,плохо,плохо,отсутствует,более_30
муж,56,нет,4904,1,1,5,отсутствует,отсутствует,хорошо,отсутствует,плохо,более_30
жен,57,нет,2693,0,1,1,хорошо,плохо,хорошо,отсутствует,плохо,более_30
муж,64,нет,1984,1,0,5,хорошо,плохо,отсутствует,отсутствует,плохо,более_30
жен,84,да,115,0,1,2,хорошо,отсутствует,плохо,хорошо,плохо,более_30
жен,27,нет,2782,1,1,1,плохо,плохо,отсутствует,плохо,отсутствует,менее_30
муж,90,да,1319,1,0,2,хорошо,отсутствует,хорошо,отсутствует,хорошо,более_30
жен,9,да,862,1,1,3,плохо,отсутствует,хорошо,хорошо,плохо,менее_30
жен,6,нет,1323,0,0,2,хорошо,хорошо,отсутствует,отсутствует,хорошо,менее_30
жен,83,да,3293,0,0,1,хорошо,отсутствует,хорошо,хорошо,хорошо,более_30
жен,60,нет,1892,1,0,5,хорошо,хорошо,хорошо,плохо,плохо,более_30
жен,70,да,4694,0,1,5,плохо,отсутствует,хорошо,отсутствует,хорошо,более_30
муж,76,да,1289,0,0,4,отсутствует,хорошо,отсутствует,отсутствует,плохо,более_30
муж,82,нет,3173,1,1,2,отсутствует,отсутствует,хорошо,отсутствует,плохо,более_30
муж,87,нет,775,1,1,1,хорошо,отсутствует,плохо,плохо,плохо,более_30
жен,61,нет,3156,0,0,5,плохо,плохо,хорошо,хорошо,отсутствует,более_30
жен,74,да,2729,0,1,1,хорошо,отсутствует,плохо,плохо,хорошо,более_30
жен,67,нет,1065,0,0,2,плохо,хорошо,отсутствует,отсутствует,хорошо,более_30
муж,29,нет,2159,1,1,4,плохо,плохо,плохо,отсутствует,отсутствует,менее_30
муж,11,да,1353,1,0,1,отсутствует,хорошо,хорошо,плохо,хорошо,менее_30
муж,24,нет,2594,1,0,3,плохо,плохо,хорошо,отсутствует,отсутствует,менее_30
муж,88,нет,2465,1,0,3,отсутствует,хорошо,хорошо,отсутствует,плохо,более_30
жен,12,да,567,1,1,5,хорошо,хорошо,отсутствует,хорошо,хорошо,менее_30
муж,71,да,538,0,0,2,отсутствует,хорошо,плохо,плохо,хорошо,более_30
муж,88,нет,4003,0,1,4,отсутствует,отсутствует,плохо,хорошо,плохо,более_30
жен,80,нет,4758,0,0,3,отсутствует,плохо,хорошо,плохо,хорошо,более_30
жен,62,да,1865,0,0,2,плохо,отсутствует,плохо,отсутствует,отсутствует,более_30
жен,10,нет,4809,1,0,2,плохо,отсутствует,хорошо,хорошо,плохо,менее_30
муж,70,нет,4293,0,1,2,плохо,хорошо,отсутствует,плохо,хорошо,более_30
жен,23,нет,1267,0,0,2,плохо,плохо,плохо,хорошо,плохо,менее_30
жен,4,нет,660,0,0,5,хорошо,хорошо,хорошо,хорошо,хорошо,менее_30
муж,12,нет,1350,1,1,3,плохо,хорошо,хорошо,плохо,отсутствует,менее_30
жен,21,нет,1350,1,0,4,отсутствует,хорошо,отсутствует,хорошо,хорошо,менее_30
муж,36,нет,332,0,1,2,плохо,хорошо,плохо,хорошо,плохо,более_30
муж,90,нет,4122,1,0,2,хорошо,отсутствует,хорошо,хорошо,отсутствует,более_30
жен,30,нет,3793,1,1,3,хорошо,плохо,хорошо,хорошо,хорошо,менее_30
жен,67,да,4045,1,1,3,отсутствует,хорошо,отсутствует,отсутствует,хорошо,более_30
жен,13,да,1306,0,1,5,хорошо,хорошо,хорошо,плохо,хорошо,менее_30
муж,55,нет,1924,0,0,4,хорошо,отсутствует,отсутствует,плохо,хорошо,более_30
жен,73,да,2615,1,0,5,хорошо,хорошо,хорошо,отсутствует,хорошо,более_30
муж,7,да,1122,0,1,3,отсутствует,плохо,отсутствует,хорошо,хорошо,менее_30
муж,57,нет,3284,1,0,5,хорошо,отсутствует,хорошо,плохо,отсутствует,более_30
муж,26,нет,1361,1,0,1,отсутствует,плохо,отсутствует,хорошо,отсутствует,менее_30
жен,6,да,3669,0,1,5,отсутствует,отсутствует,отсутствует,плохо,отсутствует,менее_30
жен,4,да,3927,0,1,5,плохо,плохо,хорошо,плохо,отсутствует,менее_30
муж,87,да,4871,0,1,3,хорошо,плохо,хорошо,хорошо,хорошо,более_30
муж,52,да,884,1,1,4,хорошо,отсутствует,плохо,отсутствует,хорошо,более_30
жен,76,нет,1185,1,0,2,отсутствует,плохо,отсутствует,отсутствует,отсутствует,более_30
муж,67,нет,3223,0,0,2,хорошо,плохо,хорошо,плохо,хорошо,более_30
муж,82,да,842,0,0,1,плохо,отсутствует,отсутствует,отсутствует,отсутствует,более_30
жен,34,да,4089,1,1,2,хорошо,отсутствует,плохо,отсутствует,хорошо,более_30
жен,44,нет,513,0,1,5,плохо,отсутствует,хорошо,плохо,плохо,более_30
муж,46,да,1722,1,1,4,плохо,плохо,плохо,отсутствует,хорошо,более_30
жен,32,нет,1965,0,1,5,отсутствует,отсутствует,отсутствует,отсутствует,хорошо,более_30
жен,27,да,1026,1,0,2,плохо,отсутствует,хорошо,хорошо,отсутствует,менее_30
муж,76,да,2436,1,1,4,плохо,плохо,хорошо,хорошо,хорошо,более_30
жен,18,нет,1869,1,0,1,плохо,хорошо,плохо,плохо,плохо,менее_30
муж,3,да,1142,1,0,4,отсутствует,хорошо,хорошо,хорошо,хорошо,менее_30
муж,3,нет,4403,1,1,4,отсутствует,отсутствует,хорошо,плохо,хорошо,менее_30
жен,78,да,2768,1,0,2,хорошо,хорошо,отсутствует,плохо,хорошо,более_30
муж,90,да,4743,1,1,3,плохо,хорошо,хорошо,хорошо,плохо,более_30
жен,19,нет,1862,1,1,2,отсутствует,отсутствует,хорошо,отсутствует,плохо,менее_30
муж,81,да,630,1,1,5,плохо,отсутствует,отсутствует,плохо,отсутствует,более_30
муж,55,да,2390,0,1,5,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует,более_30
муж,68,да,3452,1,1,5,плохо,хорошо,отсутствует,отсутствует,плохо,более_30
жен,13,нет,1741,1,1,3,хорошо,плохо,отсутствует,отсутствует,плохо,менее_30
жен,54,да,398,0,1,5,отсутствует,плохо,хорошо,хорошо,отсутствует,более_30
муж,37,нет,4605,1,0,3,хорошо,плохо,хорошо,плохо,хорошо,более_30
жен,40,да,180,1,1,2,отсутствует,отсутствует,плохо,плохо,хорошо,более_30
муж,29,нет,2267,1,0,3,отсутствует,отсутствует,отсутствует,хорошо,отсутствует,менее_30
жен,70,да,163,1,1,5,отсутствует,отсутствует,плохо,плохо,хорошо,более_30
жен,6,нет,3600,1,0,5,отсутствует,отсутствует,отсутствует,хорошо,отсутствует,менее_30
муж,41,нет,2953,0,0,2,отсутствует,хорошо,отсутствует,плохо,отсутствует,более_30
муж,47,да,1637,0,0,5,хорошо,плохо,плохо,хорошо,отсутствует,более_30
муж,65,да,4034,0,0,3,отсутствует,отсутствует,плохо,отсутствует,отсутствует,более_30
муж,82,да,1365,0,0,4,хорошо,плохо,хорошо,хорошо,отсутствует,более_30
муж,48,да,498,1,1,4,хорошо,отсутствует,хорошо,плохо,плохо,более_30
муж,59,да,2621,0,0,5,отсутствует,отсутствует,плохо,отсутствует,отсутствует,более_30
жен,8,да,3802,1,0,3,плохо,хорошо,хорошо,хорошо,плохо,менее_30
жен,62,нет,370,0,0,3,хорошо,плохо,плохо,плохо,хорошо,более_30
жен,72,нет,759,0,0,1,отсутствует,плохо,хорошо,плохо,отсутствует,более_30
муж,6,да,3380,1,1,4,отсутствует,хорошо,отсутствует,хорошо,отсутствует,менее_30
муж,84,да,2260,0,0,2,плохо,отсутствует,хорошо,хорошо,плохо,более_30
жен,3,нет,3073,0,0,5,хорошо,плохо,плохо,хорошо,плохо,менее_30
жен,29,нет,1195,1,1,3,плохо,хорошо,отсутствует,хорошо,отсутствует,менее_30
жен,45,да,4888,0,0,4,отсутствует,отсутствует,плохо,отсутствует,отсутствует,более_30
жен,49,да,2437,0,1,2,хорошо,отсутствует,хорошо,хорошо,хорошо,более_30
муж,48,нет,2677,1,0,4,плохо,отсутствует,хорошо,плохо,хорошо,более_30
жен,21,нет,3942,0,0,3,хорошо,хорошо,хорошо,отсутствует,отсутствует,менее_30
жен,31,да,4812,1,0,2,плохо,отсутствует,хорошо,отсутствует,отсутствует,более_30
жен,23,нет,889,0,1,1,плохо,отсутствует,плохо,отсутствует,плохо,менее_30
муж,1,да,3394,1,0,1,плохо,хорошо,отсутствует,хорошо,отсутствует,менее_30
муж,64,нет,2450,1,1,3,хорошо,отсутствует,хорошо,отсутствует,плохо,более_30
муж,2,да,3694,1,0,4,отсутствует,плохо,отсутствует,плохо,хорошо,менее_30
жен,71,да,4376,0,1,3,отсутствует,плохо,отсутствует,хорошо,плохо,более_30
муж,81,да,2666,1,1,1,отсутствует,плохо,отсутствует,хорошо,отсутствует,более_30
муж,74,нет,1819,1,0,4,хорошо,хорошо,хорошо,плохо,хорошо,более_30
муж,83,нет,772,0,1,3,плохо,отсутствует,отсутствует,плохо,плохо,более_30
муж,63,да,4634,1,0,5,отсутствует,плохо,плохо,плохо,плохо,более_30
жен,46,да,2589,1,1,2,отсутствует,отсутствует,хорошо,хорошо,плохо,более_30
жен,44,нет,1854,0,1,3,хорошо,отсутствует,отсутствует,хорошо,плохо,более_30
жен,76,нет,4919,0,1,4,отсутствует,плохо,отсутствует,отсутствует,плохо,более_30
муж,6,нет,2585,0,0,1,плохо,отсутствует,хорошо,хорошо,хорошо,менее_30
жен,17,да,942,0,0,5,хорошо,плохо,хорошо,хорошо,отсутствует,менее_30
жен,9,нет,2843,0,1,4,хорошо,хорошо,отсутствует,хорошо,плохо,менее_30
муж,42,да,3336,0,1,4,отсутствует,отсутствует,хорошо,плохо,плохо,более_30
муж,40,нет,3932,0,0,2,хорошо,хорошо,отсутствует,плохо,хорошо,более_30
жен,79,нет,423,0,0,1,отсутствует,отсутствует,отсутствует,отсутствует,хорошо,более_30
жен,29,да,2651,1,0,1,плохо,плохо,отсутствует,плохо,хорошо,менее_30
муж,13,да,3620,0,1,3,плохо,плохо,хорошо,отсутствует,хорошо,менее_30
муж,79,нет,3287,0,0,1,отсутствует,отсутствует,отсутствует,плохо,хорошо,более_30
муж,40,нет,3202,0,1,2,хорошо,плохо,хорошо,плохо,плохо,более_30
жен,34,да,2573,0,0,2,хорошо,хорошо,хорошо,хорошо,отсутствует,более_30
жен,18,да,4036,1,0,5,отсутствует,плохо,отсутствует,плохо,плохо,менее_30
муж,9,да,1492,0,1,5,отсутствует,отсутствует,отсутствует,плохо,отсутствует,менее_30
жен,71,нет,1040,1,0,1,хорошо,плохо,отсутствует,плохо,хорошо,более_30
муж,67,нет,4654,0,0,1,отсутствует,плохо,отсутствует,отсутствует,плохо,более_30
муж,90,нет,4808,0,1,4,плохо,отсутствует,отсутствует,отсутствует,хорошо,более_30
жен,31,да,4270,0,0,5,плохо,плохо,плохо,плохо,отсутствует,более_30
муж,22,нет,3643,1,0,2,отсутствует,хорошо,отсутствует,хорошо,плохо,менее_30
муж,34,да,260,0,1,3,плохо,отсутствует,плохо,отсутствует,плохо,более_30
муж,89,нет,1757,1,0,3,плохо,хорошо,хорошо,плохо,плохо,более_30
муж,65,да,1498,0,0,5,отсутствует,плохо,хорошо,отсутствует,отсутствует,более_30
муж,71,нет,2115,1,0,2,хорошо,плохо,отсутствует,плохо,хорошо,более_30
жен,79,да,3677,1,0,3,отсутствует,отсутствует,плохо,плохо,отсутствует,более_30
муж,60,да,4589,1,0,5,отсутствует,хорошо,плохо,плохо,отсутствует,более_30
муж,10,нет,3842,0,0,1,хорошо,хорошо,отсутствует,отсутствует,отсутствует,менее_30
жен,38,нет,4387,1,1,4,хорошо,отсутствует,отсутствует,плохо,отсутствует,более_30
жен,76,да,3582,1,1,4,плохо,отсутствует,плохо,плохо,хорошо,более_30
муж,40,нет,2233,1,0,3,плохо,плохо,хорошо,хорошо,отсутствует,более_30
муж,51,да,1965,1,1,1,плохо,плохо,плохо,хорошо,плохо,более_30
жен,37,нет,2978,0,1,1,плохо,хорошо,хорошо,плохо,плохо,более_30
муж,12,да,3500,1,0,2,хорошо,отсутствует,хорошо,отсутствует,хорошо,менее_30
жен,72,да,2206,0,0,4,хорошо,отсутствует,отсутствует,плохо,плохо,более_30
муж,68,нет,1017,1,0,2,отсутствует,плохо,плохо,хорошо,плохо,более_30
муж,13,да,2011,1,0,5,хорошо,плохо,плохо,плохо,плохо,менее_30
жен,35,да,1514,0,1,5,отсутствует,отсутствует,отсутствует,отсутствует,хорошо,более_30
муж,25,нет,2302,1,1,1,плохо,плохо,плохо,хорошо,хорошо,менее_30
муж,13,нет,744,0,0,2,хорошо,хорошо,плохо,хорошо,хорошо,менее_30
жен,87,да,3863,0,0,1,хорошо,плохо,отсутствует,хорошо,хорошо,более_30
муж,23,да,2827,0,1,1,отсутствует,хорошо,плохо,отсутствует,плохо,менее_30
жен,77,да,2224,1,0,4,отсутствует,хорошо,хорошо,хорошо,плохо,более_30
муж,83,нет,4470,0,0,4,хорошо,плохо,отсутствует,отсутствует,плохо,более_30
жен,50,нет,2765,0,0,3,отсутствует,отсутствует,отсутствует,отсутствует,хорошо,более_30
муж,55,да,298,1,1,2,хорошо,плохо,хорошо,плохо,плохо,более_30
муж,84,да,3636,0,0,4,хорошо,отсутствует,отсутствует,плохо,плохо,более_30
жен,31,да,3284,0,1,4,отсутствует,отсутствует,плохо,плохо,хорошо,более_30
жен,36,нет,4228,1,0,4,отсутствует,отсутствует,плохо,хорошо,плохо,более_30
муж,83,да,3568,1,1,5,хорошо,плохо,отсутствует,плохо,плохо,более_30
жен,85,нет,2653,1,0,4,хорошо,плохо,плохо,отсутствует,хорошо,более_30
муж,61,нет,3072,0,1,4,плохо,отсутствует,хорошо,хорошо,плохо,более_30
жен,14,да,1499,1,1,4,отсутствует,хорошо,отсутствует,плохо,плохо,менее_30
жен,27,нет,4526,1,0,5,плохо,отсутствует,отсутствует,отсутствует,плохо,менее_30
муж,25,нет,3251,1,0,3,хорошо,плохо,отсутствует,плохо,плохо,менее_30
жен,9,да,3355,0,1,1,отсутствует,хорошо,плохо,хорошо,плохо,менее_30
жен,17,нет,1241,0,1,1,плохо,плохо,плохо,плохо,отсутствует,менее_30
муж,57,да,1890,0,0,2,отсутствует,хорошо,плохо,хорошо,отсутствует,более_30
жен,38,нет,716,1,1,2,плохо,хорошо,плохо,плохо,хорошо,более_30
жен,20,нет,3155,0,1,1,плохо,хорошо,хорошо,плохо,плохо,менее_30
муж,54,да,3700,1,0,1,хорошо,плохо,хорошо,плохо,отсутствует,более_30
муж,62,да,2357,0,0,2,отсутствует,плохо,плохо,отсутствует,плохо,более_30
жен,50,нет,1943,0,1,2,отсутствует,хорошо,отсутствует,хорошо,отсутствует,более_30
жен,13,нет,2849,0,1,3,хорошо,плохо,отсутствует,отсутствует,хорошо,менее_30
жен,14,нет,2925,1,1,2,хорошо,отсутствует,отсутствует,отсутствует,отсутствует,менее_30
муж,17,нет,1789,1,1,1,хорошо,отсутствует,отсутствует,хорошо,отсутствует,менее_30
жен,48,да,2967,0,1,3,хорошо,отсутствует,плохо,хорошо,отсутствует,более_30
жен,50,да,478,0,1,3,хорошо,плохо,отсутствует,отсутствует,хорошо,более_30
муж,69,нет,3998,0,0,5,отсутствует,отсутствует,плохо,плохо,плохо,более_30
муж,31,нет,3184,1,1,5,хорошо,хорошо,отсутствует,плохо,отсутствует,более_30
муж,16,да,892,1,1,5,отсутствует,хорошо,хорошо,хорошо,плохо,менее_30
жен,27,нет,2883,1,1,1,плохо,хорошо,хорошо,плохо,отсутствует,менее_30
жен,55,да,3935,0,0,2,плохо,хорошо,хорошо,хорошо,плохо,более_30
муж,46,нет,2451,0,0,4,плохо,хорошо,отсутствует,отсутствует,отсутствует,более_30
муж,56,да,1656,1,0,5,отсутствует,хорошо,хорошо,отсутствует,хорошо,более_30
жен,36,да,2047,0,0,1,хорошо,плохо,отсутствует,плохо,плохо,более_30
жен,59,да,148,1,1,3,плохо,хорошо,отсутствует,плохо,плохо,более_30
муж,77,нет,3516,0,1,3,плохо,плохо,отсутствует,отсутствует,хорошо,более_30
жен,87,нет,4000,1,1,4,отсутствует,отсутствует,плохо,плохо,отсутствует,более_30
жен,53,нет,399,0,1,2,хорошо,отсутствует,отсутствует,хорошо,плохо,более_30
муж,68,да,482,1,1,2,отсутствует,плохо,плохо,хорошо,плохо,более_30
муж,71,нет,3339,0,0,1,отсутствует,отсутствует,хорошо,отсутствует,хорошо,более_30
муж,38,нет,2271,0,0,5,плохо,хорошо,хорошо,хорошо,отсутствует,более_30
жен,76,нет,381,0,0,5,отсутствует,хорошо,отсутствует,хорошо,отсутствует,более_30
жен,7,нет,2722,1,1,4,отсутствует,хорошо,отсутствует,хорошо,плохо,менее_30
жен,51,да,453,1,0,4,хорошо,хорошо,плохо,отсутствует,хорошо,более_30
муж,30,да,4687,1,1,3,отсутствует,хорошо,плохо,отсутствует,хорошо,менее_30
муж,56,нет,1253,1,1,5,отсутствует,отсутствует,хорошо,хорошо,плохо,более_30
жен,48,нет,3789,1,1,1,хорошо,хорошо,хорошо,отсутствует,плохо,более_30
жен,61,нет,4030,1,0,2,хорошо,хорошо,отсутствует,плохо,отсутствует,более_30
муж,70,нет,3458,0,0,1,плохо,хорошо,хорошо,хорошо,отсутствует,более_30
муж,9,нет,2318,1,0,2,хорошо,плохо,хорошо,отсутствует,плохо,менее_30
муж,35,нет,2458,1,1,1,хорошо,хорошо,отсутствует,хорошо,хорошо,более_30
муж,72,да,3251,1,1,2,хорошо,хорошо,отсутствует,отсутствует,отсутствует,более_30
жен,28,нет,3584,0,1,5,хорошо,отсутствует,хорошо,хорошо,отсутствует,менее_30
жен,70,да,1682,0,1,2,плохо,отсутствует,плохо,отсутствует,отсутствует,более_30
муж,30,нет,3244,0,1,2,хорошо,плохо,хорошо,плохо,хорошо,менее_30
муж,22,да,2973,1,0,2,плохо,хорошо,плохо,хорошо,плохо,менее_30
муж,13,да,3500,0,1,3,отсутствует,отсутствует,хорошо,отсутствует,плохо,менее_30
жен,27,нет,4588,1,0,1,отсутствует,отсутствует,отсутствует,плохо,хорошо,менее_30
муж,35,да,4712,1,1,1,отсутствует,отсутствует,отсутствует,хорошо,отсутствует,более_30
муж,18,нет,4059,0,1,4,отсутствует,хорошо,хорошо,отсутствует,хорошо,менее_30
жен,10,нет,917,0,0,5,отсутствует,хорошо,отсутствует,хорошо,хорошо,менее_30
муж,68,нет,4140,1,1,1,хорошо,отсутствует,отсутствует,хорошо,плохо,более_30
муж,36,да,1307,1,0,1,хорошо,отсутствует,хорошо,хорошо,плохо,более_30
муж,75,нет,1199,1,0,3,отсутствует,плохо,плохо,отсутствует,плохо,более_30
муж,65,нет,4455,0,1,4,отсутствует,отсутствует,плохо,хорошо,отсутствует,более_30
жен,37,нет,3684,0,0,5,хорошо,хорошо,хорошо,хорошо,хорошо,более_30
муж,56,нет,4681,1,1,3,плохо,отсутствует,плохо,плохо,отсутствует,более_30
муж,24,нет,1492,1,0,2,отсутствует,плохо,отсутствует,хорошо,плохо,менее_30
жен,84,да,552,1,1,1,плохо,плохо,хорошо,хорошо,отсутствует,более_30
жен,7,нет,1092,0,1,5,плохо,хорошо,плохо,хорошо,хорошо,менее_30
муж,9,да,3223,0,0,2,хорошо,плохо,хорошо,хорошо,хорошо,менее_30
муж,22,да,2379,1,1,3,хорошо,хорошо,хорошо,отсутствует,отсутствует,менее_30
муж,69,нет,985,1,1,3,плохо,хорошо,хорошо,плохо,отсутствует,более_30
жен,58,нет,2585,1,0,4,хорошо,отсутствует,хорошо,плохо,плохо,более_30
жен,15,да,3612,1,0,5,отсутствует,плохо,плохо,отсутствует,хорошо,менее_30
муж,61,да,4002,1,1,1,отсутствует,отсутствует,плохо,хорошо,плохо,более_30
муж,24,да,4269,0,0,1,отсутствует,плохо,хорошо,хорошо,плохо,менее_30
жен,74,нет,3519,0,1,5,хорошо,плохо,плохо,отсутствует,хорошо,более_30
муж,27,нет,4499,1,0,2,отсутствует,плохо,отсутствует,плохо,отсутствует,менее_30
муж,89,да,2145,1,1,4,плохо,отсутствует,отсутствует,хорошо,отсутствует,более_30
жен,89,да,3695,0,1,5,плохо,плохо,плохо,отсутствует,отсутствует,более_30
муж,11,нет,3610,0,1,3,отсутствует,плохо,плохо,хорошо,отсутствует,менее_30
муж,69,нет,1115,0,1,4,плохо,плохо,плохо,плохо,отсутствует,более_30
муж,78,да,1111,0,1,1,хорошо,отсутствует,отсутствует,плохо,хорошо,более_30
жен,58,нет,1386,0,0,3,отсутствует,плохо,хорошо,хорошо,хорошо,более_30
жен,70,нет,1238,1,1,4,плохо,хорошо,плохо,отсутствует,плохо,более_30
муж,64,да,1744,1,0,2,плохо,отсутствует,отсутствует,отсутствует,отсутствует,более_30
муж,62,нет,1375,0,0,1,плохо,отсутствует,отсутствует,плохо,хорошо,более_30
муж,41,нет,3423,0,0,3,хорошо,отсутствует,хорошо,отсутствует,отсутствует,более_30
муж,31,да,502,1,0,4,отсутствует,плохо,хорошо,отсутствует,плохо,более_30
муж,51,да,3028,1,0,1,отсутствует,хорошо,отсутствует,плохо,хорошо,более_30
жен,14,нет,4189,1,1,2,отсутствует,хорошо,отсутствует,хорошо,хорошо,менее_30
муж,64,нет,2276,0,1,2,хорошо,хорошо,отсутствует,хорошо,плохо,более_30
муж,18,да,554,1,0,1,плохо,плохо,хорошо,отсутствует,хорошо,менее_30
жен,37,да,3490,0,1,1,отсутствует,хорошо,плохо,хорошо,хорошо,более_30
муж,19,да,3903,0,0,5,хорошо,отсутствует,отсутствует,отсутствует,хорошо,менее_30
жен,27,нет,1978,0,1,3,плохо,отсутствует,хорошо,отсутствует,плохо,менее_30
муж,26,да,1322,0,1,3,хорошо,отсутствует,плохо,отсутствует,плохо,менее_30
жен,43,да,270,1,1,1,плохо,отсутствует,плохо,отсутствует,отсутствует,более_30
муж,70,да,1983,0,1,4,плохо,отсутствует,отсутствует,плохо,плохо,более_30
муж,4,нет,4810,0,0,2,хорошо,отсутствует,отсутствует,отсутствует,плохо,менее_30
жен,76,да,241,0,1,2,хорошо,хорошо,хорошо,плохо,хорошо,более_30
муж,36,да,821,1,0,1,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует,более_30
жен,48,нет,1004,0,1,3,плохо,плохо,отсутствует,отсутствует,отсутствует,более_30
жен,44,нет,1414,0,0,5,хорошо,хорошо,хорошо,плохо,хорошо,более_30
жен,22,нет,3630,0,0,4,плохо,плохо,хорошо,хорошо,плохо,менее_30
жен,45,нет,1431,1,0,1,хорошо,отсутствует,хорошо,хорошо,плохо,более_30
жен,44,да,1777,1,0,1,хорошо,плохо,хорошо,отсутствует,отсутствует,более_30
жен,34,да,311,0,0,5,отсутствует,плохо,хорошо,хорошо,плохо,более_30
жен,6,нет,119,0,0,2,хорошо,плохо,хорошо,хорошо,плохо,менее_30
жен,56,нет,102,0,0,2,плохо,плохо,хорошо,отсутствует,плохо,более_30
муж,89,да,2115,1,0,3,отсутствует,отсутствует,хорошо,плохо,плохо,более_30
жен,55,да,2472,1,0,5,отсутствует,плохо,отсутствует,хорошо,плохо,более_30
жен,70,нет,2848,0,0,3,отсутствует,отсутствует,хорошо,хорошо,отсутствует,более_30
муж,55,нет,1042,1,1,1,плохо,хорошо,плохо,хорошо,хорошо,более_30
муж,78,да,1720,1,0,2,отсутствует,отсутствует,хорошо,хорошо,отсутствует,более_30
муж,46,нет,121,0,1,1,хорошо,плохо,хорошо,отсутствует,отсутствует,более_30
жен,77,да,4630,1,1,1,хорошо,хорошо,плохо,отсутствует,отсутствует,более_30
жен,45,нет,3238,1,0,5,отсутствует,хорошо,хорошо,отсутствует,плохо,более_30
жен,84,нет,2877,1,0,2,плохо,отсутствует,хорошо,хорошо,отсутствует,более_30
жен,84,нет,2712,0,1,5,отсутствует,хорошо,хорошо,плохо,хорошо,более_30
муж,74,нет,3513,1,1,4,хорошо,плохо,плохо,хорошо,хорошо,более_30
жен,46,да,1027,0,0,5,плохо,плохо,хорошо,плохо,плохо,более_30
жен,23,нет,3283,0,1,4,плохо,отсутствует,плохо,плохо,отсутствует,менее_30
муж,20,нет,2769,1,0,5,плохо,хорошо,плохо,отсутствует,отсутствует,менее_30
муж,57,нет,2783,1,0,5,хорошо,отсутствует,отсутствует,плохо,плохо,более_30
муж,76,нет,4755,0,1,5,хорошо,плохо,хорошо,плохо,отсутствует,более_30
муж,81,да,2602,1,0,5,плохо,отсутствует,хорошо,хорошо,плохо,более_30
муж,13,да,1799,1,1,3,плохо,хорошо,хорошо,отсутствует,отсутствует,менее_30
жен,53,да,4629,0,0,3,отсутствует,плохо,отсутствует,плохо,хорошо,более_30
муж,32,да,1526,0,0,5,плохо,хорошо,хорошо,плохо,плохо,более_30
муж,1,да,4187,0,0,4,плохо,хорошо,отсутствует,плохо,хорошо,менее_30
жен,88,да,773,0,1,4,плохо,хорошо,плохо,плохо,отсутствует,более_30
жен,89,нет,3220,0,1,1,хорошо,хорошо,хорошо,плохо,плохо,более_30
жен,89,нет,2472,0,0,5,хорошо,хорошо,хорошо,плохо,хорошо,более_30
жен,23,нет,210,1,0,1,отсутствует,хорошо,отсутствует,хорошо,плохо,менее_30
жен,38,да,1126,0,0,3,отсутствует,хорошо,отсутствует,отсутствует,хорошо,более_30
муж,71,да,1558,0,1,2,хорошо,хорошо,хорошо,плохо,плохо,более_30
жен,33,нет,3191,1,0,5,хорошо,отсутствует,плохо,плохо,хорошо,более_30
жен,61,да,2591,0,1,1,хорошо,плохо,отсутствует,хорошо,плохо,более_30
жен,36,нет,1835,1,1,1,хорошо,отсутствует,отсутствует,хорошо,плохо,более_30
муж,47,да,725,0,1,1,хорошо,хорошо,плохо,хорошо,хорошо,более_30
жен,33,да,3650,1,1,5,отсутствует,отсутствует,плохо,отсутствует,отсутствует,более_30
жен,27,да,2515,1,1,5,плохо,плохо,отсутствует,хорошо,хорошо,менее_30
муж,82,да,323,1,1,2,плохо,хорошо,плохо,плохо,отсутствует,более_30
жен,29,нет,1299,1,1,3,хорошо,отсутствует,отсутствует,отсутствует,отсутствует,менее_30
жен,28,нет,1101,1,0,2,плохо,хорошо,хорошо,плохо,хорошо,менее_30
